fiscal_year,report_year,designated_group,subgroup,data_year,value
FY2024-25,2025,Racialized persons,Total,2023,"55,034"
FY2024-25,2025,Racialized persons,Total,2024,"61,015"
FY2024-25,2025,Racialized persons,Total,2025,"63,765"
FY2024-25,2025,Racialized persons,Black,2018,2.9%
FY2024-25,2025,Racialized persons,Black,2019,3.2%
FY2024-25,2025,Racialized persons,Black,2020,3.5%
FY2024-25,2025,Racialized persons,Black,2021,3.8%
FY2024-25,2025,Racialized persons,Black,2022,4.2%
FY2024-25,2025,Racialized persons,Black,2023,4.6%
FY2024-25,2025,Racialized persons,Black,2024,5.0%
FY2024-25,2025,Racialized persons,Black,2025,5.1%
FY2024-25,2025,Racialized persons,Non-White Latin American,2018,0.6%
FY2024-25,2025,Racialized persons,Non-White Latin American,2019,0.7%
FY2024-25,2025,Racialized persons,Non-White Latin American,2020,0.7%
FY2024-25,2025,Racialized persons,Non-White Latin American,2021,0.8%
FY2024-25,2025,Racialized persons,Non-White Latin American,2022,0.9%
FY2024-25,2025,Racialized persons,Non-White Latin American,2023,1.0%
FY2024-25,2025,Racialized persons,Non-White Latin American,2024,1.1%
FY2024-25,2025,Racialized persons,Non-White Latin American,2025,1.2%
FY2024-25,2025,Racialized persons,Person of mixed origin,2018,1.2%
FY2024-25,2025,Racialized persons,Person of mixed origin,2019,1.3%
FY2024-25,2025,Racialized persons,Person of mixed origin,2020,1.4%
FY2024-25,2025,Racialized persons,Person of mixed origin,2021,1.5%
FY2024-25,2025,Racialized persons,Person of mixed origin,2022,1.6%
FY2024-25,2025,Racialized persons,Person of mixed origin,2023,1.7%
FY2024-25,2025,Racialized persons,Person of mixed origin,2024,1.7%
FY2024-25,2025,Racialized persons,Person of mixed origin,2025,1.6%
FY2024-25,2025,Racialized persons,Chinese,2018,2.9%
FY2024-25,2025,Racialized persons,Chinese,2019,3.0%
FY2024-25,2025,Racialized persons,Chinese,2020,3.0%
FY2024-25,2025,Racialized persons,Chinese,2021,3.2%
FY2024-25,2025,Racialized persons,Chinese,2022,3.3%
FY2024-25,2025,Racialized persons,Chinese,2023,3.4%
FY2024-25,2025,Racialized persons,Chinese,2024,3.3%
FY2024-25,2025,Racialized persons,Chinese,2025,3.2%
FY2024-25,2025,Racialized persons,Japanese,2018,0.1%
FY2024-25,2025,Racialized persons,Japanese,2019,0.1%
FY2024-25,2025,Racialized persons,Japanese,2020,0.1%
FY2024-25,2025,Racialized persons,Japanese,2021,0.1%
FY2024-25,2025,Racialized persons,Japanese,2022,0.1%
FY2024-25,2025,Racialized persons,Japanese,2023,0.1%
FY2024-25,2025,Racialized persons,Japanese,2024,0.1%
FY2024-25,2025,Racialized persons,Japanese,2025,0.1%
FY2024-25,2025,Racialized persons,Korean,2018,0.2%
FY2024-25,2025,Racialized persons,Korean,2019,0.2%
FY2024-25,2025,Racialized persons,Korean,2020,0.2%
FY2024-25,2025,Racialized persons,Korean,2021,0.3%
FY2024-25,2025,Racialized persons,Korean,2022,0.3%
FY2024-25,2025,Racialized persons,Korean,2023,0.3%
FY2024-25,2025,Racialized persons,Korean,2024,0.3%
FY2024-25,2025,Racialized persons,Korean,2025,0.3%
FY2024-25,2025,Racialized persons,Filipino,2018,0.6%
FY2024-25,2025,Racialized persons,Filipino,2019,0.6%
FY2024-25,2025,Racialized persons,Filipino,2020,0.7%
FY2024-25,2025,Racialized persons,Filipino,2021,0.7%
FY2024-25,2025,Racialized persons,Filipino,2022,0.8%
FY2024-25,2025,Racialized persons,Filipino,2023,0.9%
FY2024-25,2025,Racialized persons,Filipino,2024,0.9%
FY2024-25,2025,Racialized persons,Filipino,2025,0.9%
